Policy Name,Customer Age,Occupation,Income,Education,Marital Status,Tenure (Years),Premium (INR),Coverage (INR),Family Size,Gender,Region,Policy Type
Jeevan Tarun,43,Teacher,119731,Graduate,Married,27,46186,455020,8,Female,North,Health
Jeevan Shanti,25,Teacher,39539,Doctorate,Single,3,21472,453110,9,Female,Central,Life
Jeevan Labh,39,Unemployed,70999,Graduate,Divorced,25,36788,492219,4,Male,Central,Motor
Jeevan Shanti,51,Doctor,179089,High School,Divorced,28,23901,323619,5,Female,South,Commercial
Jeevan Rakshak,30,Business,190295,High School,Divorced,17,37625,246031,10,Male,West,Personal Accident
Jeevan Shanti,27,Student,80442,Graduate,Single,16,31789,236467,6,Female,East,Life
Jeevan Labh,21,Business,180347,High School,Married,3,41834,319573,4,Female,South,Life
Jeevan Shanti,21,Student,197415,Doctorate,Widowed,17,42621,442754,8,Female,South,Health
Jeevan Anand,45,Student,127063,Diploma,Single,11,24662,348902,6,Female,East,Home
Jeevan Tarun,39,Teacher,132305,Diploma,Widowed,19,45899,112114,7,Male,North,Personal Accident
Jeevan Rakshak,29,Doctor,92068,Diploma,Divorced,27,47147,170776,10,Other,Central,Health
Jeevan Amar,20,Retired,58389,High School,Divorced,10,16258,124427,1,Male,East,Health
Jeevan Tarun,65,Teacher,163766,Diploma,Widowed,1,35641,172102,6,Other,North,Motor
Jeevan Umang,26,Engineer,59681,Graduate,Married,25,8540,329924,8,Male,East,Travel
Jeevan Lakshya,37,Student,179272,Post Graduate,Widowed,24,48760,219840,1,Other,West,Motor
Jeevan Tarun,35,Unemployed,99760,Doctorate,Married,16,13419,445494,4,Other,North,Motor
Jeevan Umang,30,Unemployed,158444,Post Graduate,Married,10,16648,167193,3,Other,East,Home
Jeevan Anand,41,Retired,169033,Post Graduate,Divorced,20,21043,490112,9,Male,East,Motor
Jeevan Rakshak,53,Unemployed,120433,Doctorate,Widowed,26,14846,248076,8,Other,Central,Agricultural
Jeevan Anand,21,Retired,169802,High School,Single,19,26624,116175,1,Male,East,Agricultural
Jeevan Labh,55,Engineer,110503,Graduate,Single,30,49270,139418,5,Female,South,Life
Jeevan Lakshya,22,Student,181679,Graduate,Widowed,24,12368,170013,3,Female,South,Personal Accident
Jeevan Anand,25,Business,101736,Graduate,Married,11,17534,366622,4,Female,East,Commercial
Jeevan Labh,41,Unemployed,44246,Doctorate,Divorced,28,43578,281330,9,Female,Central,Agricultural
Jeevan Umang,55,Student,135405,Diploma,Widowed,27,48599,316801,6,Male,West,Commercial
Jeevan Lakshya,27,Teacher,88155,Diploma,Married,23,30662,151694,5,Female,North,Motor
Jeevan Shanti,19,Teacher,139015,Doctorate,Divorced,13,33670,110706,7,Female,South,Home
Jeevan Shanti,64,Engineer,142101,Doctorate,Divorced,19,28955,416289,1,Male,South,Home
Jeevan Lakshya,57,Student,134682,Graduate,Married,16,24599,276434,10,Male,South,Personal Accident
Jeevan Rakshak,24,Student,39686,High School,Married,27,46824,490155,10,Male,West,Motor
Jeevan Tarun,58,Engineer,75146,Graduate,Divorced,24,27816,496649,1,Male,West,Motor
Jeevan Umang,38,Student,135475,High School,Widowed,6,34307,470822,10,Male,Central,Travel
Jeevan Amar,26,Retired,32562,Diploma,Married,6,23239,205948,10,Female,South,Life
Jeevan Umang,51,Business,46633,Diploma,Divorced,30,43335,355027,7,Other,Central,Life
Jeevan Nidhi,49,Doctor,85437,Graduate,Single,28,11424,121526,6,Female,East,Health
Jeevan Nidhi,43,Business,160965,Post Graduate,Divorced,12,35961,493419,8,Other,East,Travel
Jeevan Umang,44,Unemployed,156840,Graduate,Divorced,29,11414,296835,3,Male,Central,Agricultural
Jeevan Lakshya,33,Business,139417,Post Graduate,Single,25,31115,193844,9,Male,East,Agricultural
Jeevan Umang,62,Doctor,49001,Diploma,Married,16,6101,268078,10,Female,East,Personal Accident
Jeevan Arogya,18,Business,76950,Doctorate,Widowed,6,48909,484366,1,Male,West,Motor
Jeevan Umang,36,Engineer,33441,Doctorate,Married,5,26520,119403,6,Male,Central,Motor
Jeevan Tarun,56,Engineer,195198,Post Graduate,Widowed,18,23081,150707,10,Male,South,Agricultural
Jeevan Amar,25,Farmer,46469,Diploma,Single,4,18122,484192,4,Other,South,Motor
Jeevan Lakshya,64,Retired,96754,Post Graduate,Widowed,2,16288,379232,7,Male,North,Commercial
Jeevan Umang,65,Engineer,65103,Doctorate,Married,18,28917,188617,9,Male,East,Health
Jeevan Anand,50,Teacher,56898,Graduate,Divorced,30,28070,124419,7,Female,Central,Agricultural
Jeevan Anand,41,Doctor,53296,Doctorate,Divorced,21,32866,165962,4,Other,East,Life
Jeevan Arogya,48,Doctor,146995,Graduate,Single,5,19973,207355,2,Other,Central,Travel
Jeevan Arogya,47,Engineer,170872,Doctorate,Married,19,49046,437620,4,Other,Central,Motor
Jeevan Shanti,52,Unemployed,82188,Doctorate,Single,18,26112,407822,7,Other,South,Commercial
Jeevan Lakshya,56,Engineer,158107,High School,Widowed,10,47334,445228,5,Other,East,Personal Accident
Jeevan Rakshak,62,Student,143029,High School,Widowed,7,41091,478205,4,Male,West,Health
Jeevan Amar,28,Student,76268,High School,Single,3,34158,287061,4,Other,North,Motor
Jeevan Tarun,32,Business,64147,High School,Married,16,41490,286781,10,Male,South,Commercial
Jeevan Rakshak,22,Business,155918,Graduate,Married,2,45625,389606,1,Male,North,Personal Accident
Jeevan Nidhi,51,Business,129236,Graduate,Married,20,15250,435759,4,Male,West,Life
Jeevan Lakshya,29,Engineer,123796,High School,Single,26,43966,153812,3,Other,Central,Commercial
Jeevan Lakshya,27,Teacher,79747,High School,Widowed,26,29567,292875,8,Female,East,Commercial
Jeevan Umang,22,Farmer,33970,Doctorate,Widowed,8,36284,341850,1,Male,Central,Life
Jeevan Rakshak,52,Teacher,73298,Doctorate,Single,6,41843,364881,2,Male,North,Commercial
Jeevan Lakshya,65,Engineer,50780,Diploma,Married,13,23948,365884,6,Female,South,Commercial
Jeevan Umang,34,Farmer,134178,Graduate,Married,22,30521,355093,9,Female,West,Health
Jeevan Labh,31,Student,144561,Graduate,Divorced,9,7550,162126,5,Male,East,Travel
Jeevan Labh,33,Doctor,158603,Doctorate,Divorced,9,49111,182393,4,Male,North,Life
Jeevan Arogya,22,Teacher,153796,Doctorate,Divorced,28,40438,446326,10,Female,West,Personal Accident
Jeevan Arogya,26,Farmer,80664,Graduate,Divorced,22,7971,116848,7,Male,South,Commercial
Jeevan Labh,21,Engineer,143839,High School,Widowed,24,43852,372974,10,Female,West,Health
Jeevan Labh,53,Farmer,68019,Doctorate,Widowed,16,11736,284979,9,Other,West,Personal Accident
Jeevan Anand,38,Engineer,63740,Diploma,Divorced,28,11930,388020,6,Other,North,Motor
Jeevan Nidhi,47,Farmer,76869,Diploma,Widowed,30,10474,100929,10,Other,Central,Health
Jeevan Rakshak,25,Engineer,123259,Post Graduate,Widowed,17,45659,458697,6,Other,North,Life
Jeevan Arogya,40,Student,86437,Graduate,Married,16,20054,392833,9,Other,Central,Motor
Jeevan Umang,23,Business,33694,Graduate,Widowed,30,15825,424640,4,Female,North,Health
Jeevan Nidhi,54,Teacher,104677,High School,Single,2,10635,298032,2,Male,North,Agricultural
Jeevan Anand,41,Farmer,52881,Doctorate,Divorced,23,26023,407068,10,Female,South,Health
Jeevan Anand,41,Student,64866,Diploma,Single,27,9619,324913,5,Male,East,Personal Accident
Jeevan Anand,33,Student,186568,Diploma,Single,25,17974,168361,2,Male,East,Health
Jeevan Rakshak,48,Student,74217,Post Graduate,Married,26,10122,270927,2,Female,East,Travel
Jeevan Arogya,33,Farmer,110445,Doctorate,Widowed,30,28868,383046,3,Female,North,Life
Jeevan Anand,38,Business,120946,Graduate,Divorced,12,30396,312176,6,Male,South,Life
Jeevan Labh,51,Engineer,166909,Graduate,Widowed,25,37227,146863,6,Male,North,Personal Accident
Jeevan Rakshak,56,Business,144466,High School,Single,28,19254,140041,4,Other,North,Motor
Jeevan Arogya,35,Doctor,138222,Post Graduate,Widowed,22,47633,191535,9,Male,Central,Home
Jeevan Nidhi,25,Student,112255,Diploma,Widowed,29,32197,195448,7,Male,West,Travel
Jeevan Labh,61,Doctor,162731,Diploma,Single,3,27593,269288,9,Other,South,Agricultural
Jeevan Tarun,54,Student,56063,Doctorate,Widowed,13,30063,488761,1,Male,South,Personal Accident
Jeevan Arogya,49,Student,194795,Post Graduate,Married,3,5389,241343,3,Male,East,Commercial
Jeevan Labh,55,Unemployed,134859,High School,Divorced,6,15931,108330,8,Female,North,Agricultural
Jeevan Anand,58,Unemployed,115850,Doctorate,Single,17,44755,236659,4,Male,South,Travel
Jeevan Rakshak,25,Farmer,38081,Diploma,Divorced,18,6089,182997,7,Female,Central,Personal Accident
Jeevan Tarun,52,Farmer,164788,Graduate,Divorced,25,17361,432769,3,Male,South,Agricultural
Jeevan Umang,33,Doctor,71967,Diploma,Single,22,17929,157561,9,Female,South,Personal Accident
Jeevan Lakshya,46,Engineer,54040,Doctorate,Divorced,14,15233,167151,6,Male,Central,Health
Jeevan Arogya,41,Farmer,177053,Post Graduate,Widowed,2,13341,282601,10,Female,East,Home
Jeevan Arogya,23,Farmer,130594,Graduate,Widowed,13,38246,260310,1,Other,North,Personal Accident
Jeevan Anand,64,Teacher,187582,High School,Married,21,12023,312982,5,Other,South,Health
Jeevan Anand,44,Teacher,111855,Doctorate,Single,28,8570,245746,1,Other,West,Travel
Jeevan Tarun,36,Farmer,96605,Diploma,Single,6,47491,131025,8,Other,East,Commercial
Jeevan Amar,54,Unemployed,35900,Doctorate,Single,21,37206,272194,9,Male,East,Agricultural
Jeevan Anand,29,Farmer,41763,Graduate,Divorced,25,27843,419010,8,Other,South,Commercial
Jeevan Labh,38,Farmer,164585,Graduate,Divorced,12,7894,120258,2,Male,Central,Travel
Jeevan Amar,25,Farmer,79331,Doctorate,Widowed,16,18693,490804,2,Other,West,Agricultural
Jeevan Amar,32,Teacher,130786,High School,Married,17,17623,342661,4,Other,West,Life
Jeevan Anand,38,Engineer,179491,Doctorate,Widowed,19,44531,411468,8,Other,North,Home
Jeevan Shanti,24,Student,154461,Graduate,Divorced,4,24266,365901,1,Other,Central,Home
Jeevan Arogya,58,Retired,40347,High School,Single,8,23475,272396,2,Male,North,Home
Jeevan Anand,64,Teacher,62658,Post Graduate,Widowed,30,16155,407295,3,Female,West,Motor
Jeevan Amar,19,Teacher,160976,High School,Divorced,19,31886,193079,9,Male,West,Life
Jeevan Amar,57,Farmer,43218,High School,Divorced,13,17844,459025,5,Other,South,Personal Accident
Jeevan Tarun,22,Unemployed,194980,Post Graduate,Widowed,6,40766,139604,5,Other,West,Agricultural
Jeevan Rakshak,19,Student,185237,Doctorate,Single,16,37790,463502,9,Other,North,Commercial
Jeevan Labh,24,Retired,150910,Doctorate,Single,12,7479,426822,5,Female,West,Home
Jeevan Arogya,54,Farmer,151504,Diploma,Married,10,13013,158017,6,Female,East,Travel
Jeevan Umang,25,Teacher,45562,Graduate,Married,24,37905,325656,9,Other,North,Life
Jeevan Nidhi,34,Teacher,123486,Graduate,Widowed,11,9065,412066,7,Female,North,Travel
Jeevan Lakshya,23,Unemployed,157386,Diploma,Single,13,17104,177222,10,Other,West,Home
Jeevan Umang,32,Unemployed,123574,Graduate,Single,4,12642,328119,9,Female,East,Travel
Jeevan Anand,46,Business,114363,Diploma,Single,8,31904,243910,7,Female,West,Travel
Jeevan Nidhi,46,Engineer,106891,Graduate,Married,4,20534,404610,5,Male,West,Home
Jeevan Nidhi,36,Business,131612,Diploma,Married,2,37869,103632,5,Other,North,Travel
Jeevan Lakshya,36,Business,133896,Doctorate,Widowed,13,49626,157728,8,Male,West,Commercial
Jeevan Shanti,63,Doctor,171764,High School,Single,5,23149,277977,10,Other,South,Health
Jeevan Anand,53,Business,31296,Post Graduate,Divorced,13,24321,377863,10,Other,North,Motor
Jeevan Nidhi,63,Business,165178,High School,Single,24,24239,219948,2,Male,South,Personal Accident
Jeevan Lakshya,64,Student,88152,High School,Single,27,14970,211521,8,Female,Central,Travel
Jeevan Umang,50,Retired,38981,Diploma,Single,14,29220,476333,9,Male,East,Life
Jeevan Anand,21,Doctor,102893,Doctorate,Divorced,5,38204,496136,10,Other,East,Personal Accident
Jeevan Nidhi,25,Retired,112705,Doctorate,Single,10,19669,255024,4,Male,Central,Motor
Jeevan Tarun,60,Student,82336,Graduate,Widowed,4,31503,223010,10,Female,South,Health
Jeevan Arogya,63,Teacher,119605,High School,Divorced,7,32412,390484,3,Female,Central,Home
Jeevan Rakshak,50,Student,45506,Doctorate,Widowed,29,15898,146124,6,Other,Central,Travel
Jeevan Lakshya,63,Student,94674,Doctorate,Divorced,27,39517,441406,7,Male,North,Travel
Jeevan Lakshya,30,Business,89750,Graduate,Divorced,7,36686,435689,8,Male,Central,Travel
Jeevan Nidhi,25,Business,46513,Graduate,Married,6,48495,182781,5,Female,West,Personal Accident
Jeevan Tarun,63,Teacher,110178,Diploma,Single,26,37115,208142,7,Female,East,Personal Accident
Jeevan Umang,42,Student,199004,Post Graduate,Married,28,29922,362439,4,Other,East,Agricultural
Jeevan Rakshak,28,Business,65336,Doctorate,Widowed,25,27525,404258,5,Other,West,Personal Accident
Jeevan Amar,55,Retired,184900,Post Graduate,Widowed,12,21313,344758,9,Male,East,Health
Jeevan Arogya,23,Unemployed,95122,Post Graduate,Divorced,11,45663,143817,8,Male,East,Motor
Jeevan Umang,44,Farmer,161004,Graduate,Divorced,20,16206,359954,3,Other,Central,Motor
Jeevan Rakshak,65,Teacher,101305,High School,Divorced,20,23394,350872,9,Male,West,Commercial
Jeevan Amar,48,Teacher,141527,Post Graduate,Widowed,20,49492,338316,8,Male,North,Health
Jeevan Lakshya,28,Farmer,44000,High School,Married,14,48133,373163,6,Other,East,Life
Jeevan Labh,27,Teacher,90088,Post Graduate,Single,23,20873,390131,3,Female,North,Health
Jeevan Nidhi,52,Doctor,146637,Graduate,Widowed,6,44989,124072,1,Female,North,Personal Accident
Jeevan Shanti,62,Business,152908,Post Graduate,Married,7,36061,362188,5,Female,Central,Life
Jeevan Nidhi,44,Business,56467,Post Graduate,Married,23,7155,107221,1,Female,South,Life
Jeevan Tarun,40,Unemployed,51465,Graduate,Married,22,16253,442058,4,Female,North,Life
Jeevan Umang,25,Retired,30201,High School,Single,11,45886,492770,1,Male,East,Life
Jeevan Labh,65,Retired,133211,Doctorate,Married,23,25820,108539,7,Male,South,Health
Jeevan Lakshya,20,Retired,56642,Graduate,Divorced,29,38346,167459,3,Female,South,Health
Jeevan Shanti,36,Retired,151814,Graduate,Married,11,16136,496298,8,Other,Central,Personal Accident
Jeevan Nidhi,24,Business,123829,High School,Married,17,44056,346330,3,Other,East,Motor
Jeevan Shanti,47,Doctor,92181,Doctorate,Divorced,5,23104,420869,5,Other,Central,Agricultural
Jeevan Arogya,44,Student,195217,High School,Married,7,33731,411212,7,Other,East,Life
Jeevan Anand,36,Student,76405,Doctorate,Married,24,48112,482553,4,Other,South,Motor
Jeevan Nidhi,24,Teacher,182445,High School,Widowed,7,19156,176360,9,Male,West,Commercial
Jeevan Labh,61,Teacher,72409,High School,Single,6,16838,308532,4,Other,Central,Motor
Jeevan Rakshak,44,Unemployed,148514,Doctorate,Married,13,21201,399245,9,Female,West,Home
Jeevan Rakshak,24,Engineer,184729,High School,Widowed,28,27819,251331,8,Female,South,Agricultural
Jeevan Shanti,53,Engineer,162497,Doctorate,Widowed,24,13569,321097,9,Male,East,Life
Jeevan Anand,21,Retired,81328,Diploma,Widowed,24,15622,310060,6,Other,North,Life
Jeevan Amar,47,Student,49034,Post Graduate,Divorced,22,23050,406832,5,Other,West,Agricultural
Jeevan Amar,57,Doctor,43107,Diploma,Widowed,21,31453,322880,2,Male,Central,Agricultural
Jeevan Amar,35,Teacher,184643,Graduate,Widowed,27,45440,338577,3,Male,Central,Agricultural
Jeevan Amar,58,Teacher,99342,Post Graduate,Married,4,10495,370324,9,Other,North,Travel
Jeevan Amar,34,Business,58834,Doctorate,Divorced,24,49371,464175,4,Male,South,Agricultural
Jeevan Arogya,32,Retired,116353,Diploma,Single,22,42242,386942,7,Other,North,Agricultural
Jeevan Umang,42,Teacher,143929,Doctorate,Divorced,22,43446,131813,3,Male,North,Personal Accident
Jeevan Labh,45,Teacher,75760,Graduate,Married,21,33224,441862,1,Other,West,Commercial
Jeevan Shanti,54,Retired,101147,Post Graduate,Single,6,18192,209132,8,Female,Central,Motor
Jeevan Rakshak,28,Teacher,107322,Post Graduate,Divorced,19,39229,258560,6,Male,Central,Personal Accident
Jeevan Shanti,64,Engineer,190377,Doctorate,Widowed,2,13605,156652,9,Male,East,Travel
Jeevan Anand,42,Teacher,39079,Doctorate,Married,15,24187,326232,8,Male,Central,Agricultural
Jeevan Nidhi,29,Engineer,40175,Diploma,Divorced,12,29681,391055,5,Male,West,Health
Jeevan Umang,32,Doctor,83082,Doctorate,Divorced,25,44032,448216,2,Female,West,Travel
Jeevan Labh,24,Business,87790,Diploma,Widowed,14,5904,447028,8,Male,East,Motor
Jeevan Anand,65,Teacher,120537,Diploma,Married,21,48280,112053,2,Female,South,Motor
Jeevan Lakshya,36,Doctor,110397,Doctorate,Married,10,10423,413962,1,Male,South,Travel
Jeevan Shanti,32,Teacher,118794,Post Graduate,Widowed,12,45020,290321,10,Male,North,Agricultural
Jeevan Anand,29,Doctor,45268,Diploma,Married,15,33755,127971,10,Other,West,Agricultural
Jeevan Shanti,19,Student,163973,Doctorate,Divorced,30,29301,218430,2,Female,East,Commercial
Jeevan Anand,44,Teacher,162277,Doctorate,Divorced,1,27101,168657,4,Male,South,Personal Accident
Jeevan Amar,34,Retired,112659,High School,Married,25,39687,471954,2,Female,Central,Health
Jeevan Anand,42,Student,137569,Doctorate,Married,16,18138,386715,2,Female,East,Motor
Jeevan Umang,62,Unemployed,96566,Post Graduate,Widowed,12,14523,413390,5,Female,East,Home
Jeevan Lakshya,22,Farmer,162304,Post Graduate,Widowed,12,16719,363282,3,Male,North,Travel
Jeevan Amar,35,Business,156367,Doctorate,Divorced,7,20926,243821,8,Female,Central,Travel
Jeevan Amar,28,Retired,94217,Graduate,Married,5,13815,402679,5,Female,East,Agricultural
Jeevan Shanti,28,Doctor,49178,High School,Widowed,30,20326,126740,10,Female,East,Travel
Jeevan Anand,32,Doctor,91383,Post Graduate,Widowed,5,26400,498804,3,Other,South,Motor
Jeevan Rakshak,34,Student,130339,Graduate,Single,24,15238,367935,6,Female,West,Motor
Jeevan Rakshak,24,Farmer,123382,Doctorate,Single,24,25443,349096,7,Male,Central,Travel
Jeevan Lakshya,62,Doctor,179955,Graduate,Single,26,48325,454740,6,Other,Central,Personal Accident
Jeevan Lakshya,65,Doctor,33833,Graduate,Single,24,40249,162521,8,Other,East,Personal Accident
Jeevan Labh,37,Business,48322,Doctorate,Divorced,2,41072,203538,10,Male,Central,Home
Jeevan Amar,18,Unemployed,38307,Graduate,Married,27,42429,337274,2,Male,West,Motor
Jeevan Amar,35,Doctor,101381,Graduate,Widowed,8,36376,370880,4,Other,Central,Health
Jeevan Amar,64,Teacher,183755,Diploma,Divorced,25,32919,126851,8,Male,Central,Commercial
Jeevan Arogya,18,Doctor,127641,Doctorate,Widowed,23,14699,121317,2,Female,Central,Personal Accident
Jeevan Nidhi,62,Unemployed,155021,High School,Divorced,20,35039,459621,9,Female,West,Health
Jeevan Shanti,42,Farmer,75447,Diploma,Divorced,19,16113,476171,9,Male,Central,Motor
Jeevan Lakshya,46,Teacher,43507,Doctorate,Single,1,28877,476080,7,Male,Central,Agricultural
Jeevan Nidhi,28,Teacher,52174,Post Graduate,Divorced,1,14623,272879,10,Male,West,Commercial
Jeevan Tarun,42,Retired,87061,Doctorate,Widowed,8,8640,276330,4,Female,South,Health
Jeevan Shanti,53,Unemployed,171287,Post Graduate,Single,26,42923,480036,6,Other,East,Life
Jeevan Rakshak,33,Engineer,98284,Doctorate,Single,1,34720,399429,7,Other,West,Home
Jeevan Anand,39,Business,152513,Doctorate,Married,18,9378,259875,2,Other,West,Commercial
Jeevan Tarun,18,Doctor,113891,Post Graduate,Married,6,43618,315849,8,Male,Central,Commercial
Jeevan Arogya,47,Business,185566,Diploma,Divorced,9,27691,259489,9,Male,South,Motor
Jeevan Umang,35,Doctor,54487,Graduate,Divorced,26,46832,384806,5,Female,Central,Life
Jeevan Shanti,35,Retired,33049,Graduate,Single,11,34265,118303,4,Other,North,Life
Jeevan Rakshak,55,Unemployed,61521,Post Graduate,Divorced,3,21953,451013,2,Male,West,Travel
Jeevan Nidhi,39,Farmer,33657,High School,Married,8,17599,316070,4,Other,South,Agricultural
Jeevan Anand,44,Student,115512,High School,Single,2,22070,300718,6,Male,West,Travel
Jeevan Anand,51,Doctor,163055,Diploma,Divorced,8,47954,147512,8,Female,South,Travel
Jeevan Umang,39,Doctor,111115,Diploma,Divorced,20,42310,392477,7,Other,Central,Motor
Jeevan Tarun,43,Unemployed,91679,Doctorate,Divorced,5,10335,476513,10,Male,Central,Agricultural
Jeevan Anand,37,Farmer,161793,Doctorate,Divorced,5,29444,123987,8,Other,South,Home
Jeevan Amar,37,Unemployed,170111,Graduate,Widowed,27,23468,324142,9,Male,Central,Motor
Jeevan Anand,37,Teacher,196803,Diploma,Divorced,5,35838,378057,9,Female,West,Health
Jeevan Umang,46,Student,108025,Diploma,Married,4,47136,359482,8,Female,North,Motor
Jeevan Rakshak,64,Farmer,182794,Diploma,Single,2,44500,324778,9,Female,West,Agricultural
Jeevan Anand,49,Unemployed,72563,Diploma,Married,20,45080,288056,7,Male,West,Home
Jeevan Arogya,51,Retired,135459,Doctorate,Divorced,11,46258,242419,5,Other,South,Health
Jeevan Amar,26,Student,75748,Diploma,Widowed,27,27408,445481,4,Male,South,Commercial
Jeevan Rakshak,28,Teacher,100694,Diploma,Married,24,45321,347798,1,Male,North,Motor
Jeevan Arogya,62,Doctor,53810,Graduate,Single,6,21280,371204,5,Female,South,Motor
Jeevan Arogya,61,Doctor,164940,Graduate,Single,24,46911,198904,7,Other,North,Life
Jeevan Lakshya,18,Retired,99172,Diploma,Married,3,8765,483700,9,Other,North,Agricultural
Jeevan Amar,43,Retired,185827,Diploma,Widowed,23,46088,270489,4,Other,East,Motor
Jeevan Arogya,47,Retired,76723,High School,Married,4,12827,252493,3,Male,South,Motor
Jeevan Labh,21,Doctor,99226,Graduate,Widowed,9,32499,477160,3,Female,North,Life
Jeevan Lakshya,60,Engineer,160274,Diploma,Divorced,20,43404,256691,8,Female,Central,Health
Jeevan Arogya,35,Unemployed,92120,Post Graduate,Widowed,14,27156,263911,2,Female,South,Motor
Jeevan Tarun,37,Student,126016,Diploma,Married,9,37792,439352,3,Male,West,Life
Jeevan Umang,40,Engineer,85004,Graduate,Widowed,26,46171,220799,3,Male,Central,Agricultural
Jeevan Arogya,47,Farmer,85321,Post Graduate,Married,9,34110,243653,4,Other,West,Personal Accident
Jeevan Labh,48,Unemployed,131391,High School,Divorced,18,34530,228884,6,Male,North,Commercial
Jeevan Rakshak,52,Unemployed,118982,Diploma,Widowed,18,29987,236770,6,Male,North,Health
Jeevan Tarun,43,Retired,118871,Diploma,Divorced,25,38705,359092,10,Male,East,Home
Jeevan Lakshya,64,Farmer,30564,High School,Divorced,30,15297,253412,3,Female,South,Home
Jeevan Amar,34,Engineer,181277,Graduate,Single,24,36556,161481,10,Other,South,Personal Accident
Jeevan Anand,59,Doctor,94523,Post Graduate,Married,2,45853,230892,10,Other,West,Home
Jeevan Labh,56,Retired,64802,Diploma,Single,25,16296,298694,1,Other,Central,Motor
Jeevan Nidhi,18,Teacher,154868,Graduate,Divorced,4,48438,354636,9,Other,North,Health
Jeevan Lakshya,34,Farmer,34682,Diploma,Married,14,28237,355414,1,Male,Central,Life
Jeevan Anand,50,Doctor,128505,Graduate,Widowed,24,12028,440364,5,Female,West,Motor
Jeevan Anand,60,Engineer,101546,Post Graduate,Single,21,41478,177420,6,Male,East,Agricultural
Jeevan Rakshak,23,Farmer,137000,Graduate,Widowed,27,13483,448417,5,Female,South,Personal Accident
Jeevan Umang,45,Student,177441,Post Graduate,Widowed,30,44471,328986,7,Male,Central,Agricultural
Jeevan Anand,19,Student,97766,Doctorate,Single,18,30766,181245,7,Other,Central,Personal Accident
Jeevan Labh,47,Teacher,32539,Graduate,Divorced,1,21689,492526,2,Male,South,Commercial
Jeevan Amar,57,Business,86599,Diploma,Divorced,2,48640,235374,7,Male,East,Life
Jeevan Amar,26,Engineer,47500,Post Graduate,Single,24,42453,489184,4,Female,East,Health
Jeevan Anand,53,Farmer,55098,Graduate,Divorced,13,31613,247863,9,Other,Central,Health
Jeevan Shanti,50,Engineer,39695,Post Graduate,Single,30,49021,309355,7,Female,North,Home
Jeevan Labh,37,Doctor,110171,High School,Single,5,42814,251188,8,Male,West,Personal Accident
Jeevan Shanti,18,Retired,103219,Graduate,Divorced,28,13126,480314,5,Female,North,Agricultural
Jeevan Amar,25,Business,136955,Post Graduate,Widowed,14,36501,306337,2,Male,Central,Travel
Jeevan Labh,23,Teacher,114712,Diploma,Widowed,16,48830,166828,4,Male,South,Life
Jeevan Labh,27,Retired,94154,High School,Divorced,4,33718,449924,8,Female,North,Commercial
Jeevan Arogya,49,Retired,141163,High School,Married,6,8417,152037,5,Male,West,Personal Accident
Jeevan Umang,45,Farmer,132068,Graduate,Divorced,15,47259,429396,9,Female,Central,Personal Accident
Jeevan Nidhi,32,Farmer,87232,Diploma,Widowed,1,31304,375300,1,Female,South,Health
Jeevan Labh,50,Engineer,180286,Post Graduate,Divorced,20,19406,328908,9,Male,Central,Commercial
Jeevan Umang,41,Retired,76379,Diploma,Widowed,29,30553,205661,10,Female,South,Home
Jeevan Rakshak,65,Doctor,161740,High School,Divorced,17,7186,411470,7,Other,East,Home
Jeevan Tarun,21,Doctor,86424,Graduate,Divorced,18,26933,156101,10,Other,South,Motor
Jeevan Rakshak,50,Retired,121835,Doctorate,Married,14,43342,298938,8,Female,North,Personal Accident
Jeevan Lakshya,36,Teacher,147371,Graduate,Married,2,13078,497934,10,Male,North,Personal Accident
Jeevan Shanti,40,Engineer,44792,Graduate,Divorced,21,21987,430160,1,Male,West,Motor
Jeevan Nidhi,23,Farmer,56651,Post Graduate,Divorced,3,7928,254559,4,Male,Central,Home
Jeevan Nidhi,37,Student,192593,Graduate,Widowed,7,36056,282366,3,Other,West,Motor
Jeevan Anand,61,Engineer,70155,High School,Single,26,23838,414978,8,Male,North,Life
Jeevan Rakshak,46,Teacher,80186,Diploma,Divorced,8,16151,490210,6,Other,West,Travel
Jeevan Tarun,60,Farmer,152309,Doctorate,Divorced,26,27017,292978,6,Female,West,Agricultural
Jeevan Tarun,54,Student,130538,Doctorate,Single,25,11381,360176,8,Male,East,Health
Jeevan Amar,30,Business,161688,Diploma,Widowed,28,42670,329280,6,Other,Central,Commercial
Jeevan Shanti,60,Unemployed,99874,Graduate,Widowed,26,10662,151095,4,Other,West,Travel
Jeevan Anand,54,Doctor,157693,Diploma,Divorced,30,49547,223389,6,Other,South,Travel
Jeevan Nidhi,33,Engineer,150472,Doctorate,Divorced,21,17560,166416,7,Other,South,Life
Jeevan Shanti,19,Retired,189499,Post Graduate,Single,15,33514,393918,2,Other,South,Agricultural
Jeevan Tarun,63,Farmer,133715,Diploma,Married,7,6126,251190,1,Other,South,Life
Jeevan Amar,47,Farmer,172901,Graduate,Divorced,21,23688,257971,8,Female,South,Life
Jeevan Lakshya,62,Unemployed,104987,Doctorate,Widowed,2,26749,341116,2,Male,East,Personal Accident
Jeevan Labh,65,Engineer,99694,Post Graduate,Married,10,13296,234137,3,Female,Central,Home
Jeevan Nidhi,18,Farmer,37990,Post Graduate,Divorced,4,46590,148611,2,Male,South,Home
